study_hours,attendance_pct,prev_gpa,assignments_done,sleep_hours,internet_hours,family_support,part_time_job,extracurricular,parent_edu,gender,school_type,distance_km,quiz_avg,midterm_score,final_score,grade
7.2,97.8,3.36,68.4,6.3,4.4,5,0,1,Undergraduate,Female,Private,0.5,75.3,56.3,80.1,Distinction
5.1,99.3,4.0,46.5,6.4,2.0,3,0,1,Undergraduate,Male,Public,44.6,51.1,59.9,63.9,Pass
2.8,69.0,3.29,82.9,10.0,3.1,3,0,1,Undergraduate,Female,Public,5.2,74.9,55.4,54.6,Pass
3.6,50.0,3.19,91.6,6.6,2.2,5,0,1,High School,Female,Public,3.6,66.7,73.5,60.7,Pass
6.4,93.1,3.01,62.4,8.1,1.8,4,0,0,Postgraduate,Female,Private,3.0,49.9,65.7,65.8,Pass
3.5,67.7,1.9,80.8,7.0,4.4,5,0,1,None,Male,Public,2.1,34.7,65.7,38.1,Fail
5.4,89.9,3.95,67.7,4.2,1.2,4,0,0,High School,Male,Public,60.0,69.7,64.6,75.9,Distinction
5.1,48.4,2.57,71.3,3.9,1.7,4,1,0,Undergraduate,Female,Private,4.2,53.1,71.2,46.6,Pass
3.7,91.4,3.35,25.2,6.1,1.3,5,0,0,High School,Male,Private,6.2,81.4,57.8,53.0,Pass
9.3,59.8,1.91,70.6,8.6,0.8,2,1,0,None,Male,Public,24.6,65.2,89.2,60.6,Pass
6.3,89.0,2.17,94.4,8.2,3.2,4,0,1,None,Male,Private,12.3,54.5,42.2,56.9,Pass
0.9,78.2,4.0,62.4,8.4,4.7,4,0,0,Undergraduate,Female,Private,5.5,92.0,34.4,51.3,Pass
5.4,63.7,2.76,76.1,5.5,2.7,2,0,0,Postgraduate,Female,Public,27.4,73.6,33.1,44.9,Fail
3.7,71.9,4.0,59.9,9.4,0.7,4,0,0,Undergraduate,Female,Private,16.6,10.2,28.7,36.9,Fail
6.7,88.3,2.95,82.2,5.6,4.3,2,0,0,Undergraduate,Female,Public,3.1,57.7,72.8,70.0,Distinction
3.4,79.6,1.71,70.7,7.3,5.5,4,0,0,High School,Female,Private,12.4,44.2,70.8,38.8,Fail
4.8,86.8,3.62,56.2,7.0,2.0,4,1,0,High School,Male,Private,30.7,53.0,81.3,66.8,Pass
6.0,100.0,2.59,100.0,6.7,2.3,5,1,0,None,Female,Public,8.2,62.8,45.1,70.9,Distinction
6.7,54.5,3.49,93.6,9.0,3.8,2,0,1,High School,Male,Public,15.9,70.3,73.9,71.0,Distinction
2.6,100.0,3.02,62.9,5.9,5.4,4,0,0,High School,Female,Private,42.5,68.9,62.9,56.8,Pass
4.3,79.6,1.92,85.0,5.0,2.2,3,1,0,High School,Male,Public,14.1,81.2,64.7,53.2,Pass
4.1,64.5,3.12,85.7,7.0,1.0,4,1,1,None,Male,Public,1.3,74.5,72.0,62.5,Pass
3.7,58.0,4.0,87.8,6.4,3.9,4,0,1,Undergraduate,Female,Public,3.4,73.6,49.9,63.2,Pass
8.5,75.2,3.35,41.1,10.0,4.2,4,1,0,Postgraduate,Male,Private,10.8,68.0,100.0,79.6,Distinction
5.8,91.8,2.96,95.1,8.0,3.0,5,0,0,Postgraduate,Male,Private,3.9,84.3,83.3,89.9,Distinction
2.5,76.1,3.75,63.6,6.4,2.2,5,0,1,Undergraduate,Male,Public,37.9,60.3,53.5,54.8,Pass
6.8,100.0,3.15,67.8,5.4,4.5,2,0,0,None,Male,Private,6.2,60.6,44.5,61.7,Pass
9.2,56.2,3.15,100.0,4.2,3.8,3,1,0,Undergraduate,Male,Public,7.3,36.4,60.6,69.5,Pass
7.1,77.8,2.24,81.0,5.5,1.8,4,1,0,High School,Male,Private,14.5,80.8,64.9,66.9,Pass
2.0,59.2,3.16,67.3,7.2,3.1,3,1,1,Undergraduate,Female,Public,8.9,63.8,79.0,46.8,Pass
4.0,83.5,3.72,30.9,9.1,1.0,2,0,1,Undergraduate,Male,Public,5.8,100.0,43.3,50.7,Pass
7.5,91.3,2.41,100.0,8.7,4.0,4,1,1,Undergraduate,Female,Public,1.0,58.9,66.6,76.8,Distinction
3.6,71.7,4.0,48.1,7.3,2.6,3,0,0,Postgraduate,Male,Public,10.9,66.3,37.5,47.3,Pass
5.9,38.9,2.94,54.9,6.5,2.3,3,0,0,Undergraduate,Male,Public,24.3,73.2,69.0,46.6,Pass
6.5,81.0,2.38,68.4,7.4,3.0,5,0,0,Undergraduate,Male,Private,13.9,48.5,60.3,57.3,Pass
3.1,84.6,3.7,100.0,6.2,3.1,3,0,1,High School,Male,Public,5.8,70.4,93.0,81.1,Distinction
4.9,84.1,2.8,90.5,9.6,4.3,1,0,1,Postgraduate,Male,Private,1.6,65.5,37.3,51.8,Pass
0.5,96.5,3.53,71.8,6.7,3.9,2,0,0,High School,Male,Private,20.3,60.4,83.9,57.2,Pass
3.0,61.9,2.8,81.2,6.9,2.8,5,1,1,Postgraduate,Male,Private,34.1,82.6,34.7,47.2,Pass
4.5,88.2,2.96,63.0,3.7,4.1,5,0,0,High School,Male,Public,5.9,51.4,40.8,50.2,Pass
2.5,95.9,3.35,77.8,6.7,3.6,4,0,0,High School,Female,Private,15.7,69.1,35.2,54.7,Pass
8.3,51.3,3.2,76.5,8.3,2.4,3,1,1,Undergraduate,Female,Private,6.3,86.8,66.0,71.2,Distinction
2.1,82.8,1.6,94.4,5.4,2.8,5,0,0,None,Female,Private,8.4,54.4,43.2,37.0,Fail
4.1,70.4,2.22,94.3,5.9,2.8,4,0,0,Undergraduate,Female,Private,21.7,60.5,40.4,46.0,Pass
5.3,76.8,3.65,84.9,8.2,3.8,5,1,0,High School,Male,Public,1.0,100.0,65.2,83.0,Distinction
7.9,83.2,2.91,67.8,4.8,2.4,4,0,1,Postgraduate,Male,Public,9.1,72.1,69.2,74.9,Distinction
2.1,70.7,2.63,89.8,8.6,2.4,3,1,1,Undergraduate,Male,Private,2.9,57.4,62.6,46.1,Pass
7.3,67.9,2.05,73.2,6.2,6.0,3,0,1,Undergraduate,Female,Private,5.0,77.0,59.4,55.3,Pass
5.0,78.5,2.24,53.4,6.4,4.4,2,1,1,High School,Female,Public,12.4,56.5,91.3,48.7,Pass
3.0,61.7,1.58,66.9,5.3,1.9,3,0,0,None,Female,Public,0.5,41.5,64.3,23.2,Fail
5.9,61.7,2.93,76.7,7.6,3.9,4,0,0,Undergraduate,Male,Private,10.8,85.6,74.9,68.3,Pass
5.4,88.2,2.58,93.2,10.0,3.2,5,0,1,High School,Male,Public,4.0,48.5,64.3,66.4,Pass
3.8,60.8,2.32,71.3,8.2,3.6,4,0,1,High School,Female,Public,13.3,100.0,44.4,45.0,Pass
5.1,88.0,2.95,50.8,5.7,3.2,3,1,1,Undergraduate,Male,Public,1.8,57.7,70.8,55.5,Pass
4.2,84.9,3.25,76.1,8.7,4.8,2,1,1,Undergraduate,Male,Public,16.0,97.0,51.5,63.5,Pass
5.2,52.1,4.0,77.3,6.5,3.5,2,1,1,High School,Male,Public,12.4,44.5,60.5,54.4,Pass
6.3,67.8,1.94,78.7,9.1,2.9,3,0,0,High School,Female,Private,42.6,80.4,66.9,55.1,Pass
8.2,95.9,3.81,93.4,8.2,4.6,3,1,0,High School,Male,Private,29.1,72.5,30.9,81.5,Distinction
2.5,63.3,3.68,95.4,3.0,3.3,4,0,1,Postgraduate,Female,Private,4.0,77.6,36.2,57.4,Pass
9.3,71.0,2.45,63.1,5.5,3.2,1,0,1,None,Female,Private,0.5,79.5,76.6,64.3,Pass
1.1,84.9,3.14,62.7,8.4,3.5,5,0,1,Postgraduate,Male,Public,12.8,57.5,51.4,45.5,Pass
4.7,89.8,2.68,54.2,7.2,2.9,3,0,0,High School,Male,Private,11.1,45.4,52.1,43.4,Fail
6.2,74.2,3.13,89.0,5.5,3.0,5,1,0,High School,Male,Private,0.5,64.2,64.7,72.7,Distinction
5.6,69.0,4.0,100.0,6.0,2.1,4,0,1,Undergraduate,Female,Private,1.6,68.3,55.8,78.1,Distinction
3.8,99.3,3.42,68.7,4.1,1.9,2,0,1,None,Female,Private,10.5,57.9,68.7,60.9,Pass
4.6,100.0,3.36,70.2,6.9,1.5,4,1,1,Undergraduate,Male,Public,29.1,69.2,61.2,70.1,Distinction
4.0,92.7,2.7,100.0,10.0,0.9,4,1,0,Postgraduate,Male,Public,28.4,69.9,65.2,71.3,Distinction
3.8,79.3,1.96,85.1,8.2,1.7,4,1,1,None,Female,Public,2.0,51.3,50.8,41.8,Fail
6.7,65.9,2.85,83.7,10.0,2.7,4,0,1,Undergraduate,Female,Private,5.8,70.9,65.1,67.3,Pass
5.7,65.5,3.84,51.2,8.3,3.2,2,0,1,High School,Female,Public,0.5,61.0,79.7,60.5,Pass
3.6,85.8,1.93,88.6,8.5,2.6,4,0,0,High School,Female,Private,7.6,54.5,52.9,46.4,Pass
6.8,84.3,2.26,56.4,10.0,0.0,5,0,0,High School,Female,Public,16.8,76.8,76.6,65.2,Pass
5.6,99.0,3.09,52.3,7.6,5.4,2,1,1,Postgraduate,Male,Private,18.7,53.3,61.2,57.2,Pass
6.6,87.8,2.31,68.1,6.7,4.6,3,1,0,High School,Female,Public,8.3,58.1,73.8,59.9,Pass
6.3,55.5,2.45,63.3,8.5,3.7,5,1,0,Postgraduate,Female,Public,1.2,66.1,64.1,53.0,Pass
3.3,93.8,2.7,70.6,9.2,5.9,3,0,0,Undergraduate,Male,Public,5.8,85.6,61.5,58.5,Pass
3.9,63.0,2.04,46.2,6.3,1.5,4,1,1,None,Female,Private,32.3,67.9,67.6,34.2,Fail
6.5,72.2,2.32,94.2,5.9,5.8,4,1,0,Undergraduate,Female,Public,3.1,72.9,81.4,72.2,Distinction
6.2,81.8,3.49,97.6,7.2,1.6,4,0,0,Undergraduate,Male,Private,4.6,60.5,65.8,79.9,Distinction
5.0,100.0,2.08,36.1,8.2,3.4,3,0,1,Undergraduate,Female,Public,16.5,63.8,69.7,46.1,Pass
5.2,100.0,1.88,94.6,8.2,1.1,3,1,1,Undergraduate,Male,Private,15.9,64.3,56.1,59.8,Pass
7.6,87.1,2.56,58.8,4.9,3.0,1,0,0,Postgraduate,Female,Public,29.2,69.4,87.1,66.9,Pass
3.8,75.3,3.51,92.1,9.9,3.6,4,1,0,High School,Female,Private,5.9,60.6,72.2,68.9,Pass
6.1,86.0,2.86,73.6,6.0,2.8,4,0,1,Postgraduate,Male,Public,8.7,85.1,63.2,72.3,Distinction
4.6,91.3,2.67,75.6,6.6,4.1,4,1,0,Undergraduate,Female,Private,7.6,59.4,60.0,59.2,Pass
4.6,73.2,3.03,71.3,5.6,3.1,4,1,1,Undergraduate,Female,Public,31.5,39.4,77.6,56.6,Pass
7.2,100.0,1.78,99.2,10.0,2.2,3,0,0,Undergraduate,Male,Private,17.6,100.0,52.3,74.2,Distinction
6.7,81.5,3.35,50.2,7.4,2.1,1,1,1,Undergraduate,Female,Private,21.4,60.1,33.5,46.5,Pass
6.6,85.5,3.27,87.2,5.7,4.2,5,0,1,Undergraduate,Female,Public,1.7,84.7,63.2,83.8,Distinction
7.6,88.0,2.71,97.0,8.3,2.0,3,0,1,Undergraduate,Female,Public,18.8,86.1,81.0,87.1,Distinction
5.0,84.3,3.7,89.3,8.2,4.4,3,0,0,High School,Female,Private,6.8,79.2,87.5,84.7,Distinction
6.4,90.6,2.21,100.0,6.7,4.8,2,0,1,Undergraduate,Female,Private,0.5,62.0,60.3,64.4,Pass
4.4,68.7,3.79,64.4,8.3,0.5,2,1,0,High School,Male,Public,0.7,69.3,62.7,57.2,Pass
5.6,69.6,3.11,94.1,5.8,4.7,3,1,1,High School,Female,Public,13.6,45.9,70.3,63.5,Pass
4.7,61.5,2.76,72.9,6.3,6.1,5,0,0,High School,Female,Public,5.6,94.9,57.8,59.3,Pass
5.2,84.6,2.99,99.7,4.0,3.4,5,0,1,High School,Male,Public,24.3,52.2,70.3,73.6,Distinction
6.2,89.7,2.92,74.8,5.0,3.9,5,0,0,High School,Male,Public,15.9,61.2,60.6,69.0,Pass
3.4,84.9,3.85,67.2,9.7,4.6,5,1,1,Postgraduate,Male,Private,0.5,66.5,78.2,73.5,Distinction
9.2,100.0,2.25,100.0,9.5,2.6,5,1,0,High School,Male,Public,13.9,63.4,73.6,88.7,Distinction
3.0,77.9,2.47,65.2,7.1,3.3,4,0,0,Undergraduate,Female,Public,2.6,55.1,75.0,47.7,Pass
2.6,88.0,3.73,46.7,9.5,1.0,3,0,0,High School,Female,Private,6.6,85.9,58.7,55.6,Pass
7.3,61.6,2.58,64.7,6.8,3.2,4,0,0,High School,Female,Public,11.8,79.3,92.8,69.4,Pass
6.6,72.2,3.63,87.4,6.6,3.7,3,0,0,High School,Female,Private,24.7,69.8,69.7,76.4,Distinction
6.2,88.4,4.0,100.0,7.1,3.8,3,1,0,High School,Female,Private,7.3,59.0,66.0,84.9,Distinction
6.3,90.7,2.72,77.2,6.8,4.6,3,0,1,Undergraduate,Female,Public,19.8,81.0,49.8,65.3,Pass
5.0,73.6,3.48,100.0,6.7,1.8,4,1,0,Undergraduate,Female,Public,18.3,58.0,60.4,71.2,Distinction
3.2,76.9,2.19,47.8,8.7,2.2,3,1,1,High School,Male,Private,6.4,88.6,63.8,40.4,Fail
5.2,55.2,3.53,66.1,7.2,5.8,2,1,0,Undergraduate,Female,Private,8.3,66.7,49.4,48.7,Pass
3.6,72.6,3.14,69.2,8.1,2.8,3,1,1,Postgraduate,Male,Public,14.5,83.4,57.3,56.0,Pass
7.0,91.4,3.33,72.7,8.5,3.3,5,1,0,High School,Male,Public,0.5,63.3,59.3,75.6,Distinction
4.7,86.6,2.55,76.7,7.6,2.9,4,1,1,None,Male,Public,26.6,66.1,62.9,58.1,Pass
3.3,85.5,1.84,88.8,5.5,1.8,5,0,1,Undergraduate,Female,Public,17.6,83.4,33.8,47.8,Pass
4.4,78.7,3.35,66.1,5.0,5.4,2,0,0,None,Female,Public,3.4,97.9,59.8,61.1,Pass
5.8,78.1,1.56,77.8,7.2,2.2,2,0,1,Postgraduate,Male,Private,47.7,88.4,56.0,50.0,Pass
3.9,68.1,2.78,74.1,6.7,1.3,4,1,0,Undergraduate,Female,Private,2.4,78.2,61.7,54.7,Pass
3.4,88.5,3.66,56.5,7.1,2.3,3,0,1,Undergraduate,Female,Public,29.5,73.8,78.6,65.3,Pass
5.5,84.3,3.13,72.7,7.0,0.0,4,0,0,High School,Male,Private,4.7,57.4,94.8,74.3,Distinction
5.5,85.4,4.0,72.1,10.0,2.0,4,0,0,Undergraduate,Male,Public,17.3,69.4,72.9,80.0,Distinction
4.0,70.1,3.72,71.7,5.0,1.5,4,1,0,None,Female,Public,7.3,51.3,42.2,50.8,Pass
4.1,45.7,2.54,75.6,4.0,3.9,5,0,1,Postgraduate,Male,Public,16.0,70.6,56.5,45.8,Pass
5.5,94.5,3.02,76.5,7.5,2.0,3,0,0,Undergraduate,Male,Public,2.0,71.6,71.5,71.7,Distinction
2.1,70.8,2.97,66.4,6.4,4.3,3,0,1,High School,Male,Public,3.8,35.6,69.7,38.3,Fail
2.2,65.1,1.89,100.0,7.5,5.1,4,1,0,Undergraduate,Female,Private,1.3,65.6,77.8,49.1,Pass
3.6,88.4,2.34,51.6,7.9,4.2,2,0,0,High School,Female,Public,24.0,71.2,60.4,40.9,Fail
4.6,72.1,2.61,60.6,8.9,2.7,3,0,1,None,Male,Private,4.2,63.7,56.2,43.3,Fail
5.6,93.9,1.57,100.0,4.7,3.2,3,1,1,Undergraduate,Male,Public,14.2,70.4,90.0,70.2,Distinction
8.0,87.3,3.03,54.2,6.2,0.7,3,0,1,Undergraduate,Female,Public,20.6,44.9,62.9,61.9,Pass
6.7,88.3,2.83,47.9,7.6,2.8,2,0,1,Undergraduate,Female,Public,27.8,53.4,45.7,47.5,Pass
4.7,57.5,1.83,89.7,8.2,1.7,1,0,1,High School,Female,Private,1.3,80.5,85.6,49.9,Pass
5.0,96.2,3.28,33.5,10.0,4.0,4,0,1,Undergraduate,Female,Public,26.8,65.0,38.1,48.9,Pass
3.0,81.9,3.5,70.3,8.4,6.9,4,1,0,None,Female,Private,2.6,70.1,10.0,42.1,Fail
5.0,72.5,3.16,100.0,6.9,3.7,4,0,0,Undergraduate,Female,Private,16.0,56.8,74.3,71.6,Distinction
4.4,80.2,2.77,44.1,5.7,0.0,4,0,0,Undergraduate,Male,Private,15.7,65.3,76.6,52.8,Pass
5.6,51.4,3.41,35.4,6.2,2.5,2,1,0,Undergraduate,Male,Public,0.5,30.5,68.6,35.9,Fail
3.3,84.1,3.48,45.0,6.1,3.2,3,1,0,Postgraduate,Male,Private,3.0,77.7,41.2,47.4,Pass
6.0,62.6,3.22,93.0,8.0,3.1,2,0,1,Postgraduate,Female,Public,8.1,92.1,61.1,70.5,Distinction
8.1,57.7,2.42,97.5,7.4,1.9,5,0,0,Postgraduate,Male,Private,6.5,49.0,57.5,65.2,Pass
4.8,55.2,3.19,64.7,5.0,3.4,4,1,1,Postgraduate,Male,Public,30.1,50.9,53.4,46.7,Pass
5.8,94.7,3.84,88.7,6.3,1.1,3,1,1,Undergraduate,Male,Public,5.4,71.6,84.6,89.8,Distinction
6.4,68.6,2.58,100.0,8.3,1.6,3,0,0,Postgraduate,Male,Public,33.2,87.1,45.3,65.6,Pass
4.2,100.0,4.0,100.0,7.5,4.0,5,1,0,Postgraduate,Male,Public,7.4,65.0,67.1,89.5,Distinction
5.4,70.0,2.63,70.1,7.9,1.5,4,0,0,Undergraduate,Male,Public,40.0,46.6,81.1,57.0,Pass
5.0,52.4,3.02,29.0,7.6,3.8,5,0,1,None,Male,Private,16.0,61.9,68.1,40.5,Fail
5.2,61.3,2.53,58.6,9.4,0.9,3,0,1,None,Female,Private,21.2,49.6,81.9,45.7,Pass
3.5,96.5,3.16,66.5,7.4,5.6,3,0,0,Undergraduate,Male,Public,1.3,55.0,71.0,59.3,Pass
5.0,75.7,1.78,69.8,6.4,1.8,4,0,1,Undergraduate,Male,Public,10.6,60.4,68.9,47.6,Pass
6.0,69.8,2.62,71.2,5.6,2.7,4,0,0,Undergraduate,Female,Public,1.8,51.1,67.9,55.7,Pass
7.9,80.4,2.24,97.4,7.4,3.5,4,0,1,High School,Male,Public,4.2,53.3,71.8,71.8,Distinction
6.9,85.5,3.09,100.0,3.3,2.2,4,0,1,High School,Female,Private,11.7,66.1,55.8,77.5,Distinction
9.3,94.8,3.7,71.6,6.7,3.2,4,0,0,Undergraduate,Male,Private,15.5,68.2,41.2,82.3,Distinction
3.5,99.7,3.45,97.0,6.7,3.9,4,0,0,Postgraduate,Female,Public,0.5,43.6,77.3,76.2,Distinction
6.7,72.6,1.34,82.2,5.0,4.4,3,1,0,None,Male,Public,9.1,70.9,80.6,54.4,Pass
5.4,58.1,4.0,76.3,5.6,4.2,3,0,0,Postgraduate,Male,Private,10.0,59.3,66.0,65.7,Pass
9.4,71.8,3.21,93.1,8.2,2.7,5,1,1,Undergraduate,Male,Private,1.0,75.8,53.2,85.0,Distinction
3.4,81.9,2.46,76.4,7.3,2.8,3,0,0,High School,Male,Public,8.3,76.7,37.1,43.4,Fail
3.3,63.5,3.11,100.0,7.2,6.5,4,0,1,High School,Male,Public,15.0,56.8,63.4,58.1,Pass
3.8,63.6,3.12,46.2,7.5,4.4,4,0,0,None,Female,Public,0.7,74.2,40.4,38.2,Fail
0.8,83.2,2.53,64.7,7.1,1.6,5,1,1,None,Male,Public,17.1,52.4,38.2,30.2,Fail
3.9,77.3,3.14,72.5,8.9,3.1,3,0,1,Undergraduate,Female,Public,10.3,84.9,61.7,60.5,Pass
3.5,78.5,2.57,83.8,7.2,2.5,3,0,1,None,Male,Public,21.5,53.0,49.8,44.3,Fail
5.3,66.6,2.72,100.0,4.8,2.8,5,0,0,High School,Male,Private,3.0,70.3,67.5,68.8,Pass
5.7,74.5,2.52,74.5,9.4,1.2,5,1,0,Undergraduate,Male,Public,21.5,62.2,59.5,58.7,Pass
8.8,64.1,2.0,46.6,7.6,2.4,4,1,1,Undergraduate,Female,Private,1.2,49.7,52.3,43.6,Fail
6.9,91.4,3.1,91.9,6.1,5.7,3,0,0,Undergraduate,Female,Public,6.2,78.5,34.7,71.1,Distinction
3.8,93.5,3.41,90.1,5.1,3.9,3,0,0,High School,Female,Public,2.7,55.8,48.4,62.1,Pass
3.2,50.3,3.36,36.2,7.6,0.0,4,0,0,Undergraduate,Female,Public,25.1,39.5,48.9,27.1,Fail
6.0,64.1,3.57,74.9,6.8,4.8,5,0,1,Postgraduate,Female,Public,14.6,21.8,42.4,53.2,Pass
2.4,55.6,3.23,43.2,9.4,4.6,5,0,1,Undergraduate,Male,Private,0.5,51.9,56.7,34.3,Fail
8.7,68.2,2.63,61.7,6.5,2.5,2,1,1,Postgraduate,Male,Public,0.5,85.6,43.6,58.1,Pass
7.4,76.7,3.59,56.9,5.7,4.1,3,1,0,Undergraduate,Female,Public,4.1,83.9,59.4,70.7,Distinction
4.1,56.3,2.05,91.2,8.3,1.7,3,0,0,Undergraduate,Female,Private,1.9,54.2,65.8,42.8,Fail
1.6,64.2,2.37,77.3,8.4,2.3,5,0,1,Undergraduate,Male,Public,11.9,59.4,48.8,35.8,Fail
7.7,62.9,2.33,49.3,7.3,5.2,4,0,0,High School,Male,Public,13.1,58.0,68.8,50.5,Pass
4.8,81.1,3.76,92.6,8.0,2.6,3,0,0,High School,Female,Public,34.2,45.0,40.2,60.6,Pass
7.5,79.0,3.66,46.3,6.9,0.2,1,0,1,None,Female,Public,36.4,50.8,44.2,50.5,Pass
1.8,67.2,3.34,81.6,7.4,2.9,4,0,0,None,Male,Public,12.9,79.7,60.2,54.1,Pass
3.8,80.7,3.75,58.7,8.7,2.9,2,0,0,High School,Female,Public,0.5,72.6,73.0,60.7,Pass
5.0,69.8,2.38,67.7,7.9,4.8,5,0,0,Postgraduate,Male,Private,5.3,69.1,75.9,58.7,Pass
5.1,73.9,3.24,85.1,6.7,3.0,4,1,0,High School,Female,Private,8.6,45.0,87.8,69.4,Pass
4.1,100.0,2.91,85.4,9.0,2.4,3,0,0,Postgraduate,Female,Public,8.3,66.5,56.0,65.3,Pass
6.2,98.1,3.59,100.0,3.5,4.6,3,0,1,Undergraduate,Male,Public,11.1,30.4,60.0,75.8,Distinction
2.9,58.5,2.92,73.4,10.0,3.2,5,0,0,High School,Male,Public,38.8,77.6,45.5,45.4,Pass
4.7,90.4,2.73,81.1,4.4,1.9,3,0,0,Undergraduate,Female,Public,26.0,68.9,41.9,55.8,Pass
5.2,90.2,3.38,66.2,6.1,4.7,3,1,1,High School,Male,Public,1.4,44.8,65.7,60.7,Pass
6.0,60.8,3.61,78.6,6.9,3.3,5,1,1,Postgraduate,Female,Private,3.7,89.2,49.6,71.9,Distinction
6.4,90.3,2.53,83.8,6.8,3.0,5,0,0,Undergraduate,Female,Private,21.5,38.1,81.7,70.9,Distinction
2.8,100.0,2.96,73.0,8.5,3.3,5,1,1,None,Male,Public,20.9,73.0,38.6,54.9,Pass
1.9,61.2,2.26,38.9,5.4,1.4,2,0,1,Postgraduate,Male,Private,3.9,73.3,69.8,26.4,Fail
7.6,64.2,1.25,81.6,7.4,2.2,2,1,0,Undergraduate,Male,Public,15.7,46.4,45.9,35.6,Fail
5.7,93.3,3.14,82.3,6.1,3.0,1,0,0,None,Female,Public,13.4,64.4,48.9,59.8,Pass
3.5,82.1,3.43,61.4,7.4,2.7,3,0,0,Undergraduate,Male,Public,7.7,40.4,70.6,52.3,Pass
8.1,86.3,3.18,49.3,6.9,4.9,4,0,1,Undergraduate,Male,Public,2.7,22.3,51.2,55.2,Pass
5.2,83.1,1.64,100.0,7.1,3.3,3,1,0,High School,Male,Private,26.3,49.0,53.7,48.4,Pass
7.4,83.9,2.75,84.8,6.2,4.3,4,0,0,Undergraduate,Female,Public,13.6,55.8,49.0,66.0,Pass
5.1,58.1,1.45,70.4,6.2,3.0,3,1,1,None,Male,Public,2.2,74.7,90.6,45.3,Pass
9.1,93.7,3.96,52.3,7.4,4.6,3,0,0,Undergraduate,Male,Private,14.6,66.0,52.1,78.6,Distinction
8.5,95.5,2.24,58.6,8.4,3.6,5,1,1,None,Male,Public,16.2,66.4,62.8,67.7,Pass
4.5,74.6,3.88,100.0,6.1,3.0,3,0,1,Postgraduate,Male,Public,26.2,49.8,58.8,70.1,Distinction
6.9,77.3,3.66,77.8,5.7,3.0,3,1,0,Undergraduate,Female,Public,3.0,57.0,65.5,73.1,Distinction
6.3,55.0,2.37,64.0,7.9,1.6,3,0,1,High School,Female,Public,53.9,51.1,52.2,38.8,Fail
7.7,85.7,2.21,85.2,7.0,3.8,2,0,0,High School,Female,Private,2.0,46.6,58.8,57.8,Pass
3.1,86.6,3.25,58.7,8.2,2.9,3,1,0,High School,Female,Public,11.0,56.1,68.3,51.7,Pass
6.4,77.1,2.41,100.0,5.6,2.2,3,1,0,Undergraduate,Male,Private,12.8,66.1,48.2,61.3,Pass
7.1,94.9,3.07,100.0,4.3,4.7,4,1,1,None,Female,Public,6.5,56.4,79.4,85.4,Distinction
1.5,73.0,2.66,65.7,6.2,1.1,5,0,1,Undergraduate,Male,Public,7.7,60.1,81.0,48.3,Pass
2.6,86.5,1.75,62.4,5.9,2.4,4,0,0,Postgraduate,Female,Public,26.6,75.4,71.7,45.3,Pass
0.9,62.7,1.44,22.6,6.9,4.5,1,0,0,Undergraduate,Male,Private,12.4,57.5,63.1,0.0,Fail
4.5,77.6,3.16,45.4,6.0,3.5,4,0,0,High School,Male,Public,8.2,45.0,14.2,30.5,Fail
6.4,75.4,2.61,48.2,8.1,2.9,2,0,1,High School,Male,Private,1.6,73.5,68.8,51.6,Pass
8.0,81.4,2.61,77.7,6.6,3.4,4,0,1,Undergraduate,Female,Public,0.5,69.0,55.7,69.0,Pass
5.1,72.5,3.49,68.5,7.2,3.3,4,1,1,Undergraduate,Female,Public,1.6,69.9,58.1,62.9,Pass
8.3,76.0,3.82,48.1,7.2,0.7,2,1,1,Undergraduate,Female,Public,37.5,74.4,31.6,59.9,Pass
2.2,90.4,2.81,69.4,7.3,2.5,5,0,1,Undergraduate,Male,Private,17.3,71.8,69.9,58.5,Pass
1.6,71.4,2.76,85.1,7.0,5.4,5,0,0,High School,Female,Public,41.0,65.4,38.8,42.1,Fail
4.9,53.9,3.35,85.6,7.8,2.0,5,0,0,Postgraduate,Male,Public,0.5,100.0,63.9,72.7,Distinction
5.8,100.0,2.05,37.0,5.8,2.5,3,1,1,None,Female,Public,13.7,45.7,76.5,45.4,Pass
4.9,98.7,3.16,72.4,9.1,2.2,4,0,0,Undergraduate,Female,Private,0.5,56.2,54.5,64.6,Pass
0.9,58.6,3.39,47.3,6.6,2.9,5,0,0,Undergraduate,Female,Private,18.3,79.5,81.5,47.9,Pass
4.8,88.3,3.48,93.0,5.0,2.1,3,0,1,None,Female,Private,5.8,67.1,50.0,68.2,Pass
2.4,70.5,1.64,90.7,7.3,3.7,5,0,1,Undergraduate,Female,Public,1.2,76.4,71.6,49.0,Pass
6.3,82.0,2.47,57.0,5.7,3.3,1,1,0,Undergraduate,Male,Private,10.1,67.5,41.1,42.7,Fail
5.7,82.4,2.39,59.7,8.0,4.2,1,1,1,Undergraduate,Female,Private,3.9,85.6,78.5,57.2,Pass
3.1,74.5,3.07,65.8,10.0,1.4,4,0,1,None,Female,Public,12.9,49.9,76.0,51.3,Pass
4.0,66.2,3.34,29.9,5.8,2.5,4,0,0,High School,Female,Public,12.9,85.1,69.5,49.4,Pass
2.9,67.6,4.0,81.7,7.5,2.7,4,1,0,High School,Male,Public,14.6,82.6,55.7,64.7,Pass
4.9,64.3,2.65,69.5,4.4,3.7,5,0,0,High School,Female,Public,58.7,46.8,39.6,41.2,Fail
